"sbjCode","condit","distortion","Pattern_Token","Category","Response","Corr","rt","x1","y1","x2","y2","x3","y3","x4","y4","x5","y5","x6","y6","x7","y7","x8","y8","x9","y9"
"137","medium","high","new_high",2,3,0,1756,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"138","medium","high","new_high",2,3,0,949,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"139","medium","high","new_high",2,2,1,984,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"14","medium","high","new_high",2,2,1,5198,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"140","medium","high","new_high",2,2,1,5229,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"141","medium","high","new_high",2,2,1,865,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"142","medium","high","new_high",2,3,0,561,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"143","medium","high","new_high",2,3,0,1543,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"144","medium","high","new_high",2,1,0,3876,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"145","medium","high","new_high",2,2,1,983,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"146","medium","high","new_high",2,2,1,1368,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"147","medium","high","new_high",2,2,1,739,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"148","medium","high","new_high",2,3,0,3822,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"149","medium","high","new_high",2,2,1,641,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"150","medium","high","new_high",2,2,1,1322,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"151","medium","high","new_high",2,2,1,22375,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"152","medium","high","new_high",2,2,1,1245,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"18","medium","high","new_high",2,2,1,790,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"2","medium","high","new_high",2,2,1,2754,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"22","medium","high","new_high",2,3,0,4601,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"26","medium","high","new_high",2,1,0,697,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"30","medium","high","new_high",2,1,0,350,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"34","medium","high","new_high",2,1,0,2325,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"38","medium","high","new_high",2,2,1,1022,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"42","medium","high","new_high",2,2,1,4389,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"46","medium","high","new_high",2,2,1,913,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"50","medium","high","new_high",2,2,1,1829,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"54","medium","high","new_high",2,2,1,497,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"58","medium","high","new_high",2,3,0,1514,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"6","medium","high","new_high",2,1,0,4109,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"62","medium","high","new_high",2,3,0,3134,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"66","medium","high","new_high",2,1,0,581,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"70","medium","high","new_high",2,2,1,3554,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"74","medium","high","new_high",2,3,0,1307,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"78","medium","high","new_high",2,2,1,1090,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"82","medium","high","new_high",2,2,1,1815,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"86","medium","high","new_high",2,2,1,885,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"90","medium","high","new_high",2,2,1,1188,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"94","medium","high","new_high",2,1,0,1078,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"98","medium","high","new_high",2,1,0,792,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
"103","high","high","new_high",2,3,0,1122,0,23,0,10,14,-1,-14,20,-16,-1,-3,0,-14,10,-6,-2,13,2
