"sbjCode","condit","distortion","Pattern_Token","Category","Response","Corr","rt","x1","y1","x2","y2","x3","y3","x4","y4","x5","y5","x6","y6","x7","y7","x8","y8","x9","y9"
"sub251","high","high","old",3,3,1,882,-23,18,-9,19,-3,9,-5,13,-11,10,-13,8,-3,1,10,-9,-10,17
"sub236","mixed","med","new_med",3,3,1,594,-23,18,-8,-4,7,16,1,0,-11,-1,5,1,-8,-12,-10,16,2,9
"sub39","high","high","new_high",2,2,1,601,-23,19,11,-7,-5,9,-1,-7,9,-13,14,-16,-1,-10,-9,-1,0,4
"sub251","high","high","new_high",3,3,1,1066,-23,20,-10,9,1,7,-6,7,-1,3,-15,11,-7,-2,9,-14,-1,-1
"sub37","low","high","new_high",1,1,1,1987,-22,-22,-9,-9,1,-12,-4,6,6,-20,-9,3,7,2,2,5,-13,-2
"sub99","medium","high","new_high",1,1,1,1407,-22,-21,13,-2,18,1,1,1,-4,-6,-14,-2,8,1,-16,-5,-2,-9
"sub88","high","high","old",3,1,0,544,-22,-20,8,8,-4,8,4,0,-12,-8,-12,-12,3,17,-11,14,-6,12
"sub298","low","med","new_med",1,2,0,1685,-22,-15,-3,-4,4,-8,14,10,5,10,8,0,-8,3,16,9,0,-8
"sub399","medium","high","new_high",1,1,1,1068,-22,-15,9,-5,4,-11,-8,-7,-8,9,-5,2,24,-16,10,-13,7,3
"sub284","high","high","old",2,1,0,2824,-22,-15,2,-5,21,2,2,16,-6,7,-1,-10,2,21,9,8,-13,15
"sub22","medium","med","old",1,1,1,1009,-22,-14,-1,2,9,-8,8,6,-1,7,-8,1,-4,-7,-7,-8,9,-5
"sub33","low","high","new_high",1,2,0,2699,-22,-8,-7,-6,-7,-12,-16,6,2,-13,14,-3,-9,12,15,-9,14,-7
"sub354","low","high","new_high",3,2,0,78,-22,-8,8,-23,7,-15,13,-15,-9,-6,-6,-14,-3,13,6,-9,6,-12
"sub58","medium","med","old",1,1,1,1398,-22,-6,4,11,-1,-8,12,0,9,10,4,-9,-14,8,-14,-7,-7,3
"sub300","high","high","old",2,2,1,1059,-22,-4,-13,14,19,-2,-8,4,9,-19,15,-9,7,5,12,14,13,-4
"sub63","high","high","old",3,3,1,926,-22,-4,8,-3,-12,-7,-4,-3,3,7,-6,4,4,-7,-4,7,-1,-10
"sub368","high","high","new_high",1,1,1,5692,-22,-3,-5,-14,-8,-5,17,-13,-10,12,7,8,-7,-1,11,2,-15,1
"sub289","mixed","high","new_high",1,1,1,1868,-22,-3,13,-10,14,-2,-9,-4,-9,-7,-20,2,0,9,9,15,16,-6
"sub229","low","high","new_high",2,2,1,837,-22,-2,2,-5,4,-13,6,-7,7,-3,14,-5,-11,3,1,-2,-11,-10
"sub300","high","high","new_high",2,1,0,1157,-22,-2,-14,7,24,-3,-8,1,-9,-8,18,-11,11,11,17,13,10,3
"sub274","medium","high","new_high",2,2,1,273,-22,0,-2,3,4,7,11,-4,14,-16,12,6,13,-5,-3,5,-11,7
"sub58","medium","med","new_med",1,1,1,2902,-22,0,7,13,-1,-9,11,-3,7,10,2,-11,-13,5,-15,-7,1,-3
"sub284","high","high","old",2,1,0,920,-22,0,13,5,19,9,8,16,-4,5,2,-5,15,12,7,10,-7,13
"sub251","high","high","new_high",3,3,1,1051,-22,1,-10,12,0,8,-6,11,-4,-1,-15,11,-7,-8,9,-5,-10,3
"sub352","high","high","new_high",3,3,1,662,-22,1,-12,-11,-4,-14,8,7,-9,5,17,2,4,8,1,-14,-20,5
"sub285","mixed","high","new_high",1,1,1,1046,-22,2,-2,-10,7,0,-14,9,8,-20,11,5,-12,-13,-19,-15,10,-9
"sub302","low","high","new_high",2,2,1,778,-22,3,16,15,2,11,-10,9,8,4,-1,8,16,-5,5,3,6,-3
"sub242","medium","high","new_high",2,2,1,430,-22,5,-9,-4,13,20,15,10,-16,11,-18,-6,-17,15,8,0,-13,-17
"sub297","mixed","high","old",1,1,1,5112,-22,5,-7,4,14,-11,-2,-17,16,3,-19,7,-13,4,-17,3,4,13
"sub214","medium","high","new_high",2,1,0,958,-22,6,5,-9,10,-5,8,-6,4,11,20,8,-13,8,0,13,-11,3
"sub202","medium","high","new_high",1,3,0,3276,-22,7,4,2,4,-7,13,1,6,10,-4,-1,10,-3,6,4,12,4
"sub263","high","high","old",1,1,1,825,-22,7,4,10,6,-1,-1,-9,-14,-13,3,-15,-6,7,5,-8,2,18
"sub369","mixed","high","old",1,1,1,2255,-22,7,-7,-6,-12,9,15,-5,1,4,6,-9,15,4,-11,-18,-3,-17
"sub364","high","high","new_high",2,2,1,1324,-22,8,-3,-21,2,-13,-4,-1,-12,-11,12,-4,-6,2,2,-3,6,12
"sub231","high","high","new_high",2,3,0,404,-22,10,10,12,7,10,-8,5,1,7,16,9,14,-1,21,9,6,-5
"sub252","mixed","high","old",2,2,1,936,-22,11,-14,-10,0,-17,-4,4,-3,1,-8,-2,13,3,6,10,-2,18
"sub297","mixed","med","new_med",1,3,0,911,-22,11,-8,5,10,-7,-5,-13,18,-2,-11,12,-13,2,-11,-1,3,12
"sub37","low","high","new_high",3,3,1,886,-22,12,-7,-16,13,-9,3,-3,-3,-16,7,-5,4,15,-1,2,4,4
"sub58","medium","high","new_high",1,1,1,1643,-22,12,7,9,-4,-13,1,-10,-1,9,2,-8,-12,17,-16,-3,-14,3
"sub251","high","high","old",3,3,1,941,-22,16,-12,13,2,12,-3,12,0,8,-15,10,3,0,15,-7,-8,0
"sub67","high","high","old",3,3,1,619,-22,16,-4,4,5,-17,4,-3,-10,-2,8,-11,-21,0,14,8,-2,-2
"sub236","mixed","high","old",3,1,0,3228,-22,16,-8,-8,16,12,0,3,-9,0,16,8,0,-24,-16,24,2,4
"sub105","mixed","med","new_med",3,3,1,827,-22,19,-3,-3,10,-8,5,15,15,0,12,-13,-3,8,-2,17,3,8
"sub263","high","high","new_high",1,1,1,844,-22,21,9,16,6,1,-6,-6,-6,-10,1,-12,-15,6,14,-13,3,15
"sub214","medium","med","old",2,1,0,961,-22,22,3,-11,5,-4,8,-5,4,16,13,7,-12,9,7,15,-6,5
"sub7","high","high","new_high",3,3,1,807,-22,23,-12,-12,2,-10,21,-4,-1,-15,10,3,-4,-7,13,19,18,9
"sub349","mixed","high","new_high",2,2,1,945,-21,-19,-15,16,-7,-7,11,-5,8,4,4,-15,16,9,-1,15,-6,18
"sub20","mixed","high","new_high",3,3,1,4714,-21,-18,14,-11,-11,16,-1,22,-20,-2,-3,-5,1,3,4,-1,7,0
"sub212","mixed","med","old",2,2,1,1132,-21,-18,6,-4,-6,4,-7,8,-15,2,-4,-3,13,-10,-4,1,-2,-8
"sub336","high","med","new_med",2,1,0,1017,-21,-17,10,13,-4,-8,3,-9,1,-3,14,14,11,3,-15,3,14,-12
"sub397","mixed","high","new_high",2,2,1,1166,-21,-17,11,4,2,-2,12,6,-8,-7,9,-6,-4,13,2,-12,6,17
"sub20","mixed","high","new_high",3,1,0,5045,-21,-14,11,-13,-8,17,-12,21,-12,0,-2,4,16,2,7,0,23,3
"sub332","high","high","new_high",1,1,1,488,-21,-13,-12,3,4,19,-7,-19,3,4,4,14,-9,10,-1,3,-11,16
"sub340","high","high","new_high",1,1,1,902,-21,-11,-11,-14,-17,-1,13,10,1,-9,11,-15,-16,2,-4,-1,2,14
"sub13","low","high","new_high",1,1,1,983,-21,-10,11,-7,9,11,5,-7,-3,1,9,-4,-1,3,-9,4,6,14
"sub374","low","med","new_med",2,2,1,1165,-21,-10,7,-1,11,0,1,3,14,10,-19,20,-17,15,-1,-7,-11,-4
