"rt","response","sbjCode","trial","pattern_1","pattern_2","item_label_1","item_label_2","file","trial_type","trial_index","time_elapsed","internal_node_id","date","time"
"2074","3","2","1","[{""x"":-1,""y"":-14},{""x"":-11,""y"":-6},{""x"":-14,""y"":-2},{""x"":6,""y"":15},{""x"":-5,""y"":7},{""x"":9,""y"":-8},{""x"":-14,""y"":9},{""x"":6,""y"":-1},{""x"":15,""y"":2}]","[{""x"":12,""y"":8},{""x"":-12,""y"":-1},{""x"":-14,""y"":-7},{""x"":-4,""y"":-4},{""x"":9,""y"":-8},{""x"":14,""y"":-6},{""x"":-1,""y"":-4},{""x"":12,""y"":-10},{""x"":-8,""y"":-3}]","103_medium_1_312","103_medium_3_271","dot_cond2_sub103.txt","canvas-keyboard-response","3","167701","0.0-3.0","2/29/2024","3:40:04 PM"
"2027","7","2","2","[{""x"":7,""y"":-4},{""x"":16,""y"":9},{""x"":-9,""y"":-11},{""x"":-1,""y"":11},{""x"":6,""y"":15},{""x"":-4,""y"":-4},{""x"":-7,""y"":10},{""x"":-13,""y"":5},{""x"":1,""y"":-13}]","[{""x"":-5,""y"":-2},{""x"":3,""y"":-4},{""x"":3,""y"":-14},{""x"":14,""y"":-7},{""x"":11,""y"":14},{""x"":-7,""y"":7},{""x"":15,""y"":11},{""x"":7,""y"":3},{""x"":-9,""y"":-4}]","59_high_1_302","59_high_3_283","dot_cond3_sub59.txt","canvas-keyboard-response","5","170532","0.0-5.0","2/29/2024","3:40:06 PM"
"1997","6","2","3","[{""x"":-1,""y"":-10},{""x"":-3,""y"":-15},{""x"":10,""y"":5},{""x"":-2,""y"":13},{""x"":9,""y"":-8},{""x"":-10,""y"":10},{""x"":-1,""y"":5},{""x"":5,""y"":1},{""x"":0,""y"":10}]","[{""x"":2,""y"":2},{""x"":10,""y"":8},{""x"":3,""y"":14},{""x"":-9,""y"":1},{""x"":-5,""y"":8},{""x"":0,""y"":15},{""x"":10,""y"":-13},{""x"":-4,""y"":-7},{""x"":13,""y"":-11}]","323_medium_1_352","323_medium_3_344","dot_cond2_sub323.txt","canvas-keyboard-response","7","173220","0.0-7.0","2/29/2024","3:40:09 PM"
"3074","9","2","4","[{""x"":-2,""y"":-7},{""x"":-7,""y"":-13},{""x"":-1,""y"":7},{""x"":-11,""y"":-5},{""x"":14,""y"":-9},{""x"":-12,""y"":2},{""x"":8,""y"":-4},{""x"":-2,""y"":-14},{""x"":3,""y"":5}]","[{""x"":5,""y"":10},{""x"":-6,""y"":13},{""x"":3,""y"":2},{""x"":16,""y"":9},{""x"":0,""y"":-11},{""x"":-13,""y"":-12},{""x"":-12,""y"":0},{""x"":-7,""y"":-12},{""x"":-9,""y"":-1}]","264_mixed_1_305","264_mixed_2_353","dot_cond4_sub264.txt","canvas-keyboard-response","9","176996","0.0-9.0","2/29/2024","3:40:13 PM"
"1692","9","2","5","[{""x"":3,""y"":-6},{""x"":8,""y"":-5},{""x"":-13,""y"":-6},{""x"":-6,""y"":-6},{""x"":0,""y"":8},{""x"":14,""y"":0},{""x"":10,""y"":10},{""x"":15,""y"":14},{""x"":0,""y"":-1}]","[{""x"":-13,""y"":-7},{""x"":-4,""y"":-6},{""x"":14,""y"":-11},{""x"":-12,""y"":-5},{""x"":-2,""y"":7},{""x"":11,""y"":-13},{""x"":0,""y"":11},{""x"":5,""y"":-13},{""x"":4,""y"":12}]","386_low_1_272","386_low_3_332","dot_cond1_sub386.txt","canvas-keyboard-response","11","179380","0.0-11.0","2/29/2024","3:40:15 PM"
"3212","6","2","6","[{""x"":-10,""y"":-4},{""x"":-4,""y"":13},{""x"":-15,""y"":-2},{""x"":-1,""y"":-3},{""x"":4,""y"":-6},{""x"":-5,""y"":-5},{""x"":-1,""y"":-8},{""x"":-12,""y"":6},{""x"":5,""y"":10}]","[{""x"":-14,""y"":14},{""x"":-8,""y"":-3},{""x"":14,""y"":11},{""x"":0,""y"":-1},{""x"":-10,""y"":0},{""x"":6,""y"":0},{""x"":-9,""y"":-14},{""x"":-11,""y"":14},{""x"":1,""y"":14}]","236_mixed_1_280","236_mixed_3_295","dot_cond4_sub236.txt","canvas-keyboard-response","13","183284","0.0-13.0","2/29/2024","3:40:19 PM"
"1807","2","2","7","[{""x"":-12,""y"":16},{""x"":0,""y"":1},{""x"":3,""y"":10},{""x"":-2,""y"":2},{""x"":-12,""y"":-9},{""x"":-7,""y"":9},{""x"":-1,""y"":-1},{""x"":9,""y"":0},{""x"":-2,""y"":-15}]","[{""x"":4,""y"":5},{""x"":14,""y"":4},{""x"":-13,""y"":-4},{""x"":11,""y"":9},{""x"":6,""y"":-12},{""x"":-4,""y"":16},{""x"":-3,""y"":-6},{""x"":-6,""y"":-3},{""x"":9,""y"":-10}]","245_low_1_273","245_low_2_347","dot_cond1_sub245.txt","canvas-keyboard-response","15","185780","0.0-15.0","2/29/2024","3:40:22 PM"
"1660","8","2","8","[{""x"":-4,""y"":-12},{""x"":5,""y"":0},{""x"":13,""y"":-1},{""x"":12,""y"":-14},{""x"":0,""y"":-9},{""x"":-13,""y"":13},{""x"":-7,""y"":1},{""x"":7,""y"":14},{""x"":-10,""y"":-2}]","[{""x"":-3,""y"":-12},{""x"":9,""y"":11},{""x"":-4,""y"":-10},{""x"":-10,""y"":6},{""x"":15,""y"":0},{""x"":-1,""y"":12},{""x"":5,""y"":6},{""x"":15,""y"":13},{""x"":4,""y"":2}]","290_low_2_334","290_low_3_282","dot_cond1_sub290.txt","canvas-keyboard-response","17","188131","0.0-17.0","2/29/2024","3:40:24 PM"
"2157","8","2","9","[{""x"":-10,""y"":16},{""x"":8,""y"":9},{""x"":-13,""y"":8},{""x"":-4,""y"":-4},{""x"":-14,""y"":-6},{""x"":-11,""y"":-15},{""x"":-2,""y"":-14},{""x"":-8,""y"":-5},{""x"":6,""y"":-9}]","[{""x"":-8,""y"":15},{""x"":10,""y"":-2},{""x"":-2,""y"":-12},{""x"":-6,""y"":-7},{""x"":-10,""y"":-12},{""x"":3,""y"":9},{""x"":6,""y"":-8},{""x"":2,""y"":3},{""x"":5,""y"":12}]","295_medium_1_341","295_medium_2_340","dot_cond2_sub295.txt","canvas-keyboard-response","19","190979","0.0-19.0","2/29/2024","3:40:27 PM"
"1452","7","2","10","[{""x"":13,""y"":12},{""x"":8,""y"":-11},{""x"":2,""y"":3},{""x"":-7,""y"":-9},{""x"":-15,""y"":-11},{""x"":-2,""y"":-2},{""x"":7,""y"":-6},{""x"":-10,""y"":13},{""x"":-13,""y"":-14}]","[{""x"":6,""y"":-1},{""x"":8,""y"":5},{""x"":-13,""y"":1},{""x"":1,""y"":-14},{""x"":-12,""y"":-12},{""x"":-7,""y"":-11},{""x"":-11,""y"":-2},{""x"":-9,""y"":-5},{""x"":15,""y"":-14}]","218_medium_2_283","218_medium_3_346","dot_cond2_sub218.txt","canvas-keyboard-response","21","193123","0.0-21.0","2/29/2024","3:40:29 PM"
"1733","5","2","11","[{""x"":8,""y"":7},{""x"":4,""y"":1},{""x"":1,""y"":12},{""x"":0,""y"":-3},{""x"":1,""y"":3},{""x"":4,""y"":-15},{""x"":-9,""y"":-5},{""x"":7,""y"":0},{""x"":-13,""y"":-8}]","[{""x"":4,""y"":-6},{""x"":-9,""y"":12},{""x"":7,""y"":-2},{""x"":-9,""y"":5},{""x"":-14,""y"":-6},{""x"":-14,""y"":11},{""x"":1,""y"":2},{""x"":5,""y"":9},{""x"":1,""y"":13}]","211_high_1_328","211_high_2_308","dot_cond3_sub211.txt","canvas-keyboard-response","23","195539","0.0-23.0","2/29/2024","3:40:31 PM"
"4821","4","2","12","[{""x"":14,""y"":10},{""x"":-14,""y"":-4},{""x"":-5,""y"":5},{""x"":1,""y"":-7},{""x"":-10,""y"":-7},{""x"":-10,""y"":-2},{""x"":3,""y"":13},{""x"":2,""y"":-4},{""x"":-5,""y"":-6}]","[{""x"":10,""y"":-4},{""x"":6,""y"":10},{""x"":4,""y"":11},{""x"":-4,""y"":-2},{""x"":6,""y"":-2},{""x"":-10,""y"":13},{""x"":13,""y"":9},{""x"":-7,""y"":3},{""x"":8,""y"":-9}]","105_mixed_1_296","105_mixed_2_294","dot_cond4_sub105.txt","canvas-keyboard-response","25","201043","0.0-25.0","2/29/2024","3:40:37 PM"
"2201","7","2","13","[{""x"":-14,""y"":11},{""x"":3,""y"":2},{""x"":14,""y"":-12},{""x"":15,""y"":-9},{""x"":4,""y"":7},{""x"":-3,""y"":0},{""x"":11,""y"":-5},{""x"":2,""y"":-1},{""x"":2,""y"":4}]","[{""x"":-12,""y"":-3},{""x"":-14,""y"":8},{""x"":-2,""y"":-5},{""x"":-11,""y"":1},{""x"":-2,""y"":-15},{""x"":-11,""y"":-9},{""x"":2,""y"":-6},{""x"":13,""y"":5},{""x"":-3,""y"":2}]","202_medium_1_285","202_medium_3_352","dot_cond2_sub202.txt","canvas-keyboard-response","27","203939","0.0-27.0","2/29/2024","3:40:40 PM"
