"id","sbjCode","condit","Category","Pattern.Type","file","n","Corr","item_label"
"102.low","102","low",1,"new_high","dot_cond1_sub102.txt",9,0.111111111111111,"102_low_1_326"
"102.low","102","low",2,"prototype","dot_cond1_sub102.txt",1,1,"102_low_2_300"
"102.low","102","low",2,"old","dot_cond1_sub102.txt",99,0.838383838383838,"102_low_2_300"
"102.low","102","low",2,"new_low","dot_cond1_sub102.txt",3,1,"102_low_2_300"
"102.low","102","low",2,"new_med","dot_cond1_sub102.txt",6,0.833333333333333,"102_low_2_300"
"102.low","102","low",2,"new_high","dot_cond1_sub102.txt",9,0.777777777777778,"102_low_2_300"
"102.low","102","low",3,"prototype","dot_cond1_sub102.txt",1,1,"102_low_3_272"
"102.low","102","low",3,"old","dot_cond1_sub102.txt",99,0.838383838383838,"102_low_3_272"
"102.low","102","low",3,"new_low","dot_cond1_sub102.txt",3,1,"102_low_3_272"
"102.low","102","low",3,"new_med","dot_cond1_sub102.txt",6,0.666666666666667,"102_low_3_272"
"102.low","102","low",3,"new_high","dot_cond1_sub102.txt",9,0.222222222222222,"102_low_3_272"
"103.medium","103","medium",1,"prototype","dot_cond2_sub103.txt",1,1,"103_medium_1_312"
"103.medium","103","medium",1,"old","dot_cond2_sub103.txt",99,0.888888888888889,"103_medium_1_312"
"103.medium","103","medium",1,"new_low","dot_cond2_sub103.txt",3,1,"103_medium_1_312"
"103.medium","103","medium",1,"new_med","dot_cond2_sub103.txt",6,0.833333333333333,"103_medium_1_312"
"103.medium","103","medium",1,"new_high","dot_cond2_sub103.txt",9,0.666666666666667,"103_medium_1_312"
"103.medium","103","medium",2,"prototype","dot_cond2_sub103.txt",1,1,"103_medium_2_329"
"103.medium","103","medium",2,"old","dot_cond2_sub103.txt",99,0.888888888888889,"103_medium_2_329"
"103.medium","103","medium",2,"new_low","dot_cond2_sub103.txt",3,1,"103_medium_2_329"
"103.medium","103","medium",2,"new_med","dot_cond2_sub103.txt",6,1,"103_medium_2_329"
"103.medium","103","medium",2,"new_high","dot_cond2_sub103.txt",9,1,"103_medium_2_329"
