"","phase","block","trial","itemtype","category","token","distortion","response","correct","rt","dot1x","dot1y","dot2x","dot2y","dot3x","dot3y","dot4x","dot4y","dot5x","dot5y","dot6x","dot6y","dot7x","dot7y","dot8x","dot8y","dot9x","dot9y","ID","condition"
"7734",2,1,30,5,1,2,3,2,0,0,23,-19,9,-13,-5,-1,3,-4,0,0,15,-1,4,5,11,7,-2,-6,22,2
"7735",2,1,31,1,3,90,2,1,0,1619,-5,4,10,-11,-2,-12,-11,2,4,18,-14,-6,2,-12,2,10,9,-8,22,2
"7736",2,1,32,5,3,1,3,2,0,187,-5,5,9,-11,-8,0,-12,-1,-1,0,-15,0,3,-11,6,13,9,-4,22,2
"7737",2,1,33,4,3,4,2,3,1,0,-2,5,8,-7,-2,-10,-13,2,6,10,-13,-9,2,-12,7,3,6,-8,22,2
"7738",2,1,34,1,3,4,2,1,0,1372,-2,3,12,-9,0,-6,-4,1,13,3,-11,-18,5,-13,3,12,8,-7,22,2
"7739",2,1,35,4,3,1,2,3,1,544,-4,3,10,-10,-5,-14,-10,-4,7,8,-13,-7,2,-14,6,11,8,-6,22,2
"7740",2,1,36,1,1,64,2,1,1,467,12,1,10,-12,-9,3,8,1,2,-1,12,-3,5,13,15,13,1,5,22,2
"7741",2,1,37,1,1,50,2,2,0,0,17,0,-2,1,-9,-1,14,5,2,0,16,-4,6,6,12,18,-1,-5,22,2
"7742",2,1,38,5,2,6,3,3,0,695,11,-7,9,-10,14,7,-6,-11,1,-13,7,2,-17,18,3,5,12,-3,22,2
"7743",2,1,39,4,1,3,2,2,0,500,13,-11,-3,-12,-5,6,2,-2,3,0,9,-1,4,5,22,20,-1,-3,22,2
"7744",2,1,40,5,1,5,3,1,1,844,12,-8,9,-15,-11,2,17,0,2,5,15,-6,4,8,15,17,-8,-10,22,2
"7745",2,1,41,5,2,2,3,2,1,374,3,-2,4,-7,12,-3,-2,-14,-1,-12,14,1,-22,13,8,9,9,-15,22,2
"7746",2,1,42,1,2,59,2,3,0,2,10,-6,7,-10,4,0,-10,-21,4,-22,11,7,-14,14,6,8,3,-10,22,2
"7747",2,1,43,4,3,6,2,2,0,0,-5,5,9,-10,2,-7,-10,1,2,14,-12,-8,6,-15,4,13,5,-10,22,2
"7748",2,1,44,3,3,2,1,1,0,219,2,-6,10,-9,0,-8,-15,-1,7,10,-13,-9,5,-15,4,11,8,-8,22,2
"7749",2,1,45,4,2,4,2,3,0,0,9,-7,7,-9,7,0,-8,-13,-1,-10,10,4,-15,14,3,13,5,-12,22,2
"7750",2,1,46,5,1,7,3,2,0,75,21,-19,0,3,-18,0,4,0,9,-4,5,-5,-2,15,15,13,-4,-4,22,2
"7751",2,1,47,4,3,2,2,1,0,66,-4,5,6,-9,0,-8,-13,-1,5,7,-12,-8,5,-11,6,14,8,2,22,2
